Region,Division,School_ID,School_Name,IndexScore
Region V,Masbate,309925,Damaso R. Rubia MHS,0.31
Region V,Sorsogon,310005,Bagong Sirang NHS,0.26
Region V,Sorsogon,310007,Biton High School,0.27
Region V,Sorsogon,310008,San Rafael NHS,0.3
Region V,Sorsogon,310009,San Antonio National High School,0.3
Region V,Sorsogon,310010,Tiong Hen So MHS,0.24
Region IX,Zamboanga del Norte,314115,SIANAN NATIONAL HIGH SCHOOL,0.27
Region XII,General Santos City,317002,Pao-Pao High School,0.16
Region VII,Bais City,323001,Cabugan National High School,0.18
Region VII,Bais City,323007,Mansangaban National High School,0.16
Region VII,Bais City,323011,Bais City Olympia National High School,0.15
Region I,Dagupan City,500055,Pugaro IS,0.07
Region XII,Sarangani,500292,Lamlabong Integrated School,0.32
Region V,Catanduanes,500414,Palumbanes Integrated School,0.29
Region V,Camarines Sur,500468,Harrison Integrated School,0.34
Region VII,Cebu,500661,Cansaloay Integrated School,0.36
Region XII,Sarangani,500714,Laginan Integrated School,0.32
Region II,Nueva Vizcaya,500895,Binalian ES,0.29
Region IX,Zamboanga del Norte,501210,Do<f1>a Natividad L. Macias Integrated School,0.31
